song_id,entry_date,exit_date,peak_position,days_on_playlist,peak_date,is_explicit,album_type,entry_to_peak_days,lifetime_days
iguales_quevedo,2025-11-24,2025-11-27,3,4,2025-11-24,False,album,0,4
il capo_rauw alejandro,2025-11-17,2025-11-17,38,1,2025-11-17,True,album,0,1
imagínate_danny ocean & kapo,2025-11-15,2025-11-27,15,13,2025-11-23,True,single,8,13
imperio_duki,2025-11-03,2025-11-23,15,19,2025-11-09,True,album,6,21
it's beginning to look a lot like christmas_michael bublé,2024-12-25,2024-12-27,16,3,2024-12-25,False,album,0,3
it's the most wonderful time of the year_andy williams,2024-12-25,2024-12-27,12,3,2024-12-25,False,album,0,3
"japoni (feat. camin, moncho chavea, jthyago & samueliyo baby)_oscar el ruso & samuel g & omar montes",2025-01-18,2025-06-17,26,71,2025-02-25,False,single,38,151
jingle bell rock_bobby helms,2024-12-25,2024-12-27,10,3,2024-12-25,False,single,0,3
k-pop_travis scott & bad bunny & the weeknd,2024-07-23,2024-08-05,21,14,2024-07-23,True,single,0,14
kassandra_quevedo,2025-11-24,2025-11-27,2,4,2025-11-24,False,album,0,4
khé?_rauw alejandro,2025-11-17,2025-11-27,8,11,2025-11-23,False,album,6,11
ktm_jhayco & bryant myers & luar la l,2025-03-24,2025-03-28,16,4,2025-03-24,True,single,0,5
la 125_quevedo,2025-11-24,2025-11-27,10,4,2025-11-24,False,album,0,4
la baby_brytiago,2024-11-03,2024-12-02,3,16,2024-11-30,True,single,27,30
la baby_tainy,2024-07-02,2024-07-12,25,11,2024-07-02,False,album,0,11
la bachata_manuel turizo,2024-05-18,2025-11-19,11,537,2025-01-01,False,album,228,551
la bebe - remix_yng lvcas & peso pluma,2024-05-18,2024-08-29,10,104,2024-06-01,True,single,14,104
la canción feliz del disco_eladio carrion,2025-01-21,2025-01-24,13,4,2025-01-21,True,album,0,4
la capi_myke towers,2024-12-14,2025-09-25,13,232,2025-01-22,True,album,39,286
la falda_myke towers,2024-11-25,2025-11-23,1,358,2025-02-18,True,album,85,364
la fiesta_pedro capó,2024-05-18,2024-06-27,30,17,2024-05-20,False,album,2,41
la gata bajo la lluvia_naiara,2025-01-25,2025-01-25,46,1,2025-01-25,False,single,0,1
la inocente_mora,2024-05-30,2024-08-11,45,31,2024-06-21,True,album,22,74
la jumpa_arcángel,2024-05-18,2024-06-23,36,37,2024-05-29,True,album,11,37
la marina sta morena_figa flawas,2025-08-07,2025-10-15,19,69,2025-09-04,False,single,28,70
la nena_lyanno & rauw alejandro,2025-04-21,2025-05-25,25,27,2025-04-27,True,single,6,35
la noia_angelina mango,2025-05-14,2025-05-14,47,1,2025-05-14,False,single,0,1
la ranger (feat. myke towers)_the academy: segunda misión & justin quiles & lenny tavárez,2025-03-31,2025-07-16,3,107,2025-04-11,True,album,11,108
la raíz d€l mal_cruz cafuné,2025-07-21,2025-07-26,42,4,2025-07-21,True,single,0,6
la reina_lola indigo,2025-06-16,2025-11-26,4,162,2025-06-20,False,single,4,164
la rijana_saiko,2025-04-28,2025-04-29,41,2,2025-04-28,False,album,0,2
la rizos [dime si le comento a la pura]_las 2k & chardo chardemio & melody records international,2025-08-25,2025-11-06,22,69,2025-09-15,False,single,21,74
la roja baila - himno oficial de la selección española_sergio ramos & niña pastori & redone,2025-07-15,2025-07-16,9,2,2025-07-15,False,single,0,2
la sevillana - sevillanas_omar montes,2025-05-05,2025-07-03,8,60,2025-05-05,False,single,0,60
la sevillana_omar montes,2025-04-14,2025-05-04,3,21,2025-04-20,False,single,6,21
la torre picasso_arde bogotá,2025-09-15,2025-09-15,46,1,2025-09-15,False,single,0,1
la vida sin ti_rels b,2025-04-28,2025-06-29,8,63,2025-05-02,False,album,4,63
la vida sin ti_rels b & lia kali,2025-04-25,2025-04-27,15,3,2025-04-25,False,single,0,3
